Democrats 2016,Republicans 2016,Democrats 2012,Republicans 2012,State,County,Less Than High School Diploma,At Least High School Diploma,White (Not Latino) Population,Asian American Population,African American Population,Construction.extraction.maintenance.and.repair.occupations,Average Unemployment % 2016,"Poverty Percent, All Ages",realGDP2016,At Least Bachelors's Degree,Graduate Degree,AGE18PLUS_TOT,1824tot_per,1824M_per,1824F_per,2544tot_per,2544M_per,2544F_per,4564tot_per,4564M_per,4564F_per,65tot_per,65M_per,65F_per
22.973661852166533,74.68139337298216,27.986529599432828,70.41829138603333,North Carolina,"Clay County, North Carolina",17.0,83.0,95.5,0.1,1.5,16.8,5.5,15.3,183641,18.6,6.2,8894,0.07308297728805936,0.041376208680009,0.03170676860805037,0.22037328536091746,0.10928715988306724,0.11108612547785024,0.34573870024735776,0.16336856307623115,0.1823701371711266,0.3608050371036654,0.17033955475601528,0.1904654823476501
23.491141079493413,74.20332880649339,30.919579233118423,67.60434340006786,North Carolina,"Surry County, North Carolina",25.5,74.5,85.25,0.5,3.6,13.05,4.8,17.0,2350239,14.9,4.6,56424,0.09910676307954062,0.05176875088614774,0.047338012193392884,0.28470154544165605,0.14135828725365093,0.1433432581880051,0.3652523748759393,0.17923224159931944,0.18602013327661987,0.250939316602864,0.10896072593222741,0.14197859067063662
40.900226226694755,57.57469381387003,44.18888973790785,55.10048139374953,North Carolina,"Sampson County, North Carolina",24.8,75.2,53.35,0.4,27.15,10.6,5.5,19.6,2121400,12.4,3.6,47658,0.11064249443954845,0.05810147299509002,0.052541021444458436,0.31069285324604473,0.1557765747618448,0.15491627848419992,0.3536237357841286,0.17497586973855386,0.17864786604557473,0.22504091653027825,0.09612237189978598,0.12891854463049227
62.22814498933903,37.057569296375256,66.13652079423096,33.45846093055418,North Carolina,"Bertie County, North Carolina",27.7,72.3,35.05,0.30000000000000004,62.4,10.9,6.6,24.4,581268,10.1,2.8,15899,0.09893704006541292,0.05629284860683062,0.0426441914585823,0.282281904522297,0.15743128498647713,0.12485061953581986,0.36128058368450844,0.17246367696081513,0.1888169067236933,0.2575004717277816,0.10774262532234732,0.1497578464054343
34.61362436190812,62.55060728744939,35.58176820888686,62.97526339899221,North Carolina,"Henderson County, North Carolina",12.8,87.2,85.35,0.85,3.05,11.55,4.3,12.2,3994726,27.3,10.1,91515,0.08078457083538218,0.04142490302136262,0.03935966781401956,0.26627328853193466,0.13135551548926405,0.1349177730426706,0.34365950937004863,0.16402775501283942,0.1796317543572092,0.30928263126263456,0.13717969731737967,0.1721029339452549
30.45118741875139,67.19934049906465,36.34933881114392,62.227179355501356,North Carolina,"Rowan County, North Carolina",20.0,80.0,74.7,0.95,15.55,11.8,5.6,16.5,4633194,17.0,4.8,107939,0.11375869704184771,0.05896849146277064,0.05479020557907707,0.3107588545382114,0.15507833127970427,0.15568052325850712,0.35901759327027305,0.17830441267753083,0.1807131805927422,0.21646485514966787,0.09533162249048073,0.12113323265918713
48.50012165872989,46.998505335604285,46.98272746982728,50.08672400086724,North Carolina,"Watauga County, North Carolina",13.1,86.9,93.35,0.85,1.5,10.45,4.5,24.3,1839582,37.1,16.3,47124,0.33573126220185046,0.17061370002546472,0.1651175621763857,0.23264154146507088,0.12201850437144555,0.11062303709362532,0.25700280112044815,0.1240981240981241,0.13290467702232409,0.1746243952126305,0.0825693913929208,0.0920550038197097
37.240254616234424,59.35609448156136,41.13163458328697,57.01568932903083,North Carolina,"Dare County, North Carolina",8.2,91.8,90.0,0.45,3.05,16.1,6.7,10.9,1741756,32.1,10.2,28927,0.07816227054309123,0.04172572337262765,0.03643654717046358,0.28139800186676805,0.14183980364365473,0.13955819822311336,0.3944411795208629,0.19072147128979847,0.20371970823106442,0.24599854806927784,0.11767552805337574,0.1283230200159021
23.17475650004025,73.00973999839006,31.51096956829441,66.31280962491154,North Carolina,"Currituck County, North Carolina",15.3,84.7,88.55,0.6000000000000001,6.45,17.45,5.1,10.2,573065,17.2,5.1,19867,0.08949514269894801,0.047666985453264206,0.0418281572456838,0.3053807822016409,0.15115518196003422,0.1542256002416067,0.40489253536014497,0.1995771883022097,0.20531534705793528,0.2002315397392661,0.09563597926209291,0.10459556047717321
55.65710987107947,43.10178949393881,62.357853589196885,37.01137171286425,North Carolina,"Anson County, North Carolina",22.4,77.6,47.15,1.0,48.15,12.9,5.8,25.1,704947,8.4,2.2,20168,0.10838952796509321,0.06143395477984927,0.04695557318524395,0.33131693772312576,0.19694565648552162,0.1343712812376041,0.34450614835382787,0.17661642205474018,0.16788972629908766,0.2157873859579532,0.09346489488298294,0.12232249107497024
