"CAGDP1 Gross Domestic Product (GDP) summary by county and metropolitan area"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2016"
"13003","Atkinson, GA","3","Current-dollar GDP (thousands of current dollars)",233997
"13005","Bacon, GA","1","Real GDP (thousands of chained 2012 dollars)",351341
"13005","Bacon, GA","2","Chain-type quantity indexes for real GDP",114.752
"13005","Bacon, GA","3","Current-dollar GDP (thousands of current dollars)",369297
"13007","Baker, GA","1","Real GDP (thousands of chained 2012 dollars)",94739
"13007","Baker, GA","2","Chain-type quantity indexes for real GDP",83.932
"13007","Baker, GA","3","Current-dollar GDP (thousands of current dollars)",87810
"13009","Baldwin, GA","1","Real GDP (thousands of chained 2012 dollars)",1221974
"13009","Baldwin, GA","2","Chain-type quantity indexes for real GDP",97.797
"13009","Baldwin, GA","3","Current-dollar GDP (thousands of current dollars)",1354031
"13011","Banks, GA","1","Real GDP (thousands of chained 2012 dollars)",376263
"13011","Banks, GA","2","Chain-type quantity indexes for real GDP",116.619
"13011","Banks, GA","3","Current-dollar GDP (thousands of current dollars)",370498
"13013","Barrow, GA","1","Real GDP (thousands of chained 2012 dollars)",1720364
"13013","Barrow, GA","2","Chain-type quantity indexes for real GDP",112.837
"13013","Barrow, GA","3","Current-dollar GDP (thousands of current dollars)",1886140
"13015","Bartow, GA","1","Real GDP (thousands of chained 2012 dollars)",4384889
"13015","Bartow, GA","2","Chain-type quantity indexes for real GDP",116.869
"13015","Bartow, GA","3","Current-dollar GDP (thousands of current dollars)",4753193
"13017","Ben Hill, GA","1","Real GDP (thousands of chained 2012 dollars)",480766
"13017","Ben Hill, GA","2","Chain-type quantity indexes for real GDP",96.676
"13017","Ben Hill, GA","3","Current-dollar GDP (thousands of current dollars)",541285
"13019","Berrien, GA","1","Real GDP (thousands of chained 2012 dollars)",327001
"13019","Berrien, GA","2","Chain-type quantity indexes for real GDP",85.512
"13019","Berrien, GA","3","Current-dollar GDP (thousands of current dollars)",361404
"13021","Bibb, GA","1","Real GDP (thousands of chained 2012 dollars)",7651253
"13021","Bibb, GA","2","Chain-type quantity indexes for real GDP",104.254
"13021","Bibb, GA","3","Current-dollar GDP (thousands of current dollars)",8330480
"13023","Bleckley, GA","1","Real GDP (thousands of chained 2012 dollars)",222459
"13023","Bleckley, GA","2","Chain-type quantity indexes for real GDP",79.139
"13023","Bleckley, GA","3","Current-dollar GDP (thousands of current dollars)",246308
"13025","Brantley, GA","1","Real GDP (thousands of chained 2012 dollars)",228431
"13025","Brantley, GA","2","Chain-type quantity indexes for real GDP",117.550
"13025","Brantley, GA","3","Current-dollar GDP (thousands of current dollars)",252242
"13027","Brooks, GA","1","Real GDP (thousands of chained 2012 dollars)",286397
"13027","Brooks, GA","2","Chain-type quantity indexes for real GDP",99.283
"13027","Brooks, GA","3","Current-dollar GDP (thousands of current dollars)",302886
"13029","Bryan, GA","1","Real GDP (thousands of chained 2012 dollars)",724375
"13029","Bryan, GA","2","Chain-type quantity indexes for real GDP",117.574
"13029","Bryan, GA","3","Current-dollar GDP (thousands of current dollars)",798743
"13031","Bulloch, GA","1","Real GDP (thousands of chained 2012 dollars)",2060434
"13031","Bulloch, GA","2","Chain-type quantity indexes for real GDP",111.882
"13031","Bulloch, GA","3","Current-dollar GDP (thousands of current dollars)",2290699
"13033","Burke, GA","1","Real GDP (thousands of chained 2012 dollars)",2230208
"13033","Burke, GA","2","Chain-type quantity indexes for real GDP",116.122
"13033","Burke, GA","3","Current-dollar GDP (thousands of current dollars)",2404145
"13035","Butts, GA","1","Real GDP (thousands of chained 2012 dollars)",511615
"13035","Butts, GA","2","Chain-type quantity indexes for real GDP",106.384
"13035","Butts, GA","3","Current-dollar GDP (thousands of current dollars)",567265
"13037","Calhoun, GA","1","Real GDP (thousands of chained 2012 dollars)",123044
"13037","Calhoun, GA","2","Chain-type quantity indexes for real GDP",82.945
"13037","Calhoun, GA","3","Current-dollar GDP (thousands of current dollars)",125206
"13039","Camden, GA","1","Real GDP (thousands of chained 2012 dollars)",1760908
"13039","Camden, GA","2","Chain-type quantity indexes for real GDP",104.705
"13039","Camden, GA","3","Current-dollar GDP (thousands of current dollars)",1914662
"13043","Candler, GA","1","Real GDP (thousands of chained 2012 dollars)",226591
"13043","Candler, GA","2","Chain-type quantity indexes for real GDP",94.726
"13043","Candler, GA","3","Current-dollar GDP (thousands of current dollars)",249435
"13045","Carroll, GA","1","Real GDP (thousands of chained 2012 dollars)",3773815
"13045","Carroll, GA","2","Chain-type quantity indexes for real GDP",102.614
"13045","Carroll, GA","3","Current-dollar GDP (thousands of current dollars)",3961964
"13047","Catoosa, GA","1","Real GDP (thousands of chained 2012 dollars)",1269812
"13047","Catoosa, GA","2","Chain-type quantity indexes for real GDP",98.874
"13047","Catoosa, GA","3","Current-dollar GDP (thousands of current dollars)",1386441
"13049","Charlton, GA","1","Real GDP (thousands of chained 2012 dollars)",191167
"13049","Charlton, GA","2","Chain-type quantity indexes for real GDP",97.608
"13049","Charlton, GA","3","Current-dollar GDP (thousands of current dollars)",206317
"13051","Chatham, GA","1","Real GDP (thousands of chained 2012 dollars)",15778121
"13051","Chatham, GA","2","Chain-type quantity indexes for real GDP",112.674
"13051","Chatham, GA","3","Current-dollar GDP (thousands of current dollars)",17352192
"13053","Chattahoochee, GA","1","Real GDP (thousands of chained 2012 dollars)",1555436
"13053","Chattahoochee, GA","2","Chain-type quantity indexes for real GDP",78.796
"13053","Chattahoochee, GA","3","Current-dollar GDP (thousands of current dollars)",1664936
"13055","Chattooga, GA","1","Real GDP (thousands of chained 2012 dollars)",520846
"13055","Chattooga, GA","2","Chain-type quantity indexes for real GDP",104.342
"13055","Chattooga, GA","3","Current-dollar GDP (thousands of current dollars)",568128
"13057","Cherokee, GA","1","Real GDP (thousands of chained 2012 dollars)",5750505
"13057","Cherokee, GA","2","Chain-type quantity indexes for real GDP",122.549
"13057","Cherokee, GA","3","Current-dollar GDP (thousands of current dollars)",6260234
"13059","Clarke, GA","1","Real GDP (thousands of chained 2012 dollars)",6539802
"13059","Clarke, GA","2","Chain-type quantity indexes for real GDP",106.127
"13059","Clarke, GA","3","Current-dollar GDP (thousands of current dollars)",7230461
"13061","Clay, GA","1","Real GDP (thousands of chained 2012 dollars)",70805
"13061","Clay, GA","2","Chain-type quantity indexes for real GDP",109.491
"13061","Clay, GA","3","Current-dollar GDP (thousands of current dollars)",77554
"13063","Clayton, GA","1","Real GDP (thousands of chained 2012 dollars)",16464790
"13063","Clayton, GA","2","Chain-type quantity indexes for real GDP",120.468
"13063","Clayton, GA","3","Current-dollar GDP (thousands of current dollars)",18501818
"13065","Clinch, GA","1","Real GDP (thousands of chained 2012 dollars)",243641
"13065","Clinch, GA","2","Chain-type quantity indexes for real GDP",118.242
"13065","Clinch, GA","3","Current-dollar GDP (thousands of current dollars)",261306
"13067","Cobb, GA","1","Real GDP (thousands of chained 2012 dollars)",42103647
"13067","Cobb, GA","2","Chain-type quantity indexes for real GDP",115.721
"13067","Cobb, GA","3","Current-dollar GDP (thousands of current dollars)",45356884
"13069","Coffee, GA","1","Real GDP (thousands of chained 2012 dollars)",1292181
"13069","Coffee, GA","2","Chain-type quantity indexes for real GDP",109.258
"13069","Coffee, GA","3","Current-dollar GDP (thousands of current dollars)",1386654
"13071","Colquitt, GA","1","Real GDP (thousands of chained 2012 dollars)",1206080
"13071","Colquitt, GA","2","Chain-type quantity indexes for real GDP",103.611
"13071","Colquitt, GA","3","Current-dollar GDP (thousands of current dollars)",1321891
"13073","Columbia, GA","1","Real GDP (thousands of chained 2012 dollars)",3064812
"13073","Columbia, GA","2","Chain-type quantity indexes for real GDP",108.644
"13073","Columbia, GA","3","Current-dollar GDP (thousands of current dollars)",3382843
"13075","Cook, GA","1","Real GDP (thousands of chained 2012 dollars)",320322
"13075","Cook, GA","2","Chain-type quantity indexes for real GDP",101.906
"13075","Cook, GA","3","Current-dollar GDP (thousands of current dollars)",351229
"13077","Coweta, GA","1","Real GDP (thousands of chained 2012 dollars)",3418967
"13077","Coweta, GA","2","Chain-type quantity indexes for real GDP",112.333
"13077","Coweta, GA","3","Current-dollar GDP (thousands of current dollars)",3722894
"13079","Crawford, GA","1","Real GDP (thousands of chained 2012 dollars)",177696
"13079","Crawford, GA","2","Chain-type quantity indexes for real GDP",121.409
"13079","Crawford, GA","3","Current-dollar GDP (thousands of current dollars)",175740
"13081","Crisp, GA","1","Real GDP (thousands of chained 2012 dollars)",682528
"13081","Crisp, GA","2","Chain-type quantity indexes for real GDP",105.927
"13081","Crisp, GA","3","Current-dollar GDP (thousands of current dollars)",751782
"13083","Dade, GA","1","Real GDP (thousands of chained 2012 dollars)",335398
"13083","Dade, GA","2","Chain-type quantity indexes for real GDP",103.953
