"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US42069","Lackawanna County, Pennsylvania","209674","*****","188220","2097","7329","581","209","231","6703","315","169","135","3420","2028","3624","1192","398","258","3226","1179"
"0500000US42071","Lancaster County, Pennsylvania","545724","*****","475780","4724","23358","3621","325","220","12475","1059","121","213","14631","4425","19034","3985","5420","3071","13614","3504"
"0500000US42073","Lawrence County, Pennsylvania","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US42075","Lebanon County, Pennsylvania","141793","*****","121918","2361","3037","976","570","522","1445","552","0","182","10344","2244","4479","2137","2422","1823","2057","972"
"0500000US42077","Lehigh County, Pennsylvania","369318","*****","298131","5408","31897","3446","556","456","12177","1512","221","292","15524","3960","10812","2537","2741","1426","8071","2123"
"0500000US42079","Luzerne County, Pennsylvania","317417","*****","266628","3196","22899","4558","700","485","3034","816","73","122","17029","4163","7054","1531","1522","982","5532","1359"
"0500000US42081","Lycoming County, Pennsylvania","113299","*****","104295","452","6032","755","523","85","807","173","0","182","41","46","1601","795","66","72","1535","791"
"0500000US42085","Mercer County, Pennsylvania","109424","*****","99721","368","6412","804","0","182","680","332","0","182","277","259","2334","904","0","182","2334","904"
"0500000US42089","Monroe County, Pennsylvania","170271","*****","132835","2523","24687","1685","1042","824","4151","744","0","182","2878","1775","4678","1757","778","612","3900","1650"
"0500000US42091","Montgomery County, Pennsylvania","830915","*****","654804","3335","79874","2921","982","669","63850","1757","334","251","8887","2837","22184","3407","1513","1026","20671","3286"
"0500000US42095","Northampton County, Pennsylvania","305285","*****","254300","3465","18289","1888","604","517","8541","844","0","182","13264","3855","10287","2491","2755","1632","7532","1750"
