19089,"Howard, IA",417916
19091,"Humboldt, IA",470312
19093,"Ida, IA",378111
19095,"Iowa, IA",738351
19097,"Jackson, IA",605127
19099,"Jasper, IA",982323
19101,"Jefferson, IA",612099
19103,"Johnson, IA",8049250
19105,"Jones, IA",541093
19107,"Keokuk, IA",363479
19109,"Kossuth, IA",1037829
19111,"Lee, IA",1641194
19113,"Linn, IA",15733507
19115,"Louisa, IA",476180
19117,"Lucas, IA",291041
19119,"Lyon, IA",1213612
19121,"Madison, IA",365884
19123,"Mahaska, IA",778726
19125,"Marion, IA",1463150
19127,"Marshall, IA",1583533
19129,"Mills, IA",465649
19131,"Mitchell, IA",623222
19133,"Monona, IA",399113
19135,"Monroe, IA",382638
19137,"Montgomery, IA",373573
19139,"Muscatine, IA",2284845
19141,"O'Brien, IA",1148411
19143,"Osceola, IA",456467
19145,"Page, IA",506133
19147,"Palo Alto, IA",487974
19149,"Plymouth, IA",1613598
19151,"Pocahontas, IA",679430
19153,"Polk, IA",36688552
19155,"Pottawattamie, IA",4611782
19157,"Poweshiek, IA",1088574
19159,"Ringgold, IA",157843
19161,"Sac, IA",539118
19163,"Scott, IA",8052003
19165,"Shelby, IA",1021387
19167,"Sioux, IA",2434370
19169,"Story, IA",4627378
19171,"Tama, IA",513704
19173,"Taylor, IA",179462
19175,"Union, IA",541249
19177,"Van Buren, IA",207442
19179,"Wapello, IA",1572369
19181,"Warren, IA",995315
19183,"Washington, IA",934993
19185,"Wayne, IA",219054
19187,"Webster, IA",2137710
19189,"Winnebago, IA",416167
19191,"Winneshiek, IA",1063400
19193,"Woodbury, IA",4941052
19195,"Worth, IA",372315
19197,"Wright, IA",889787
26001,"Alcona, MI",215680
26003,"Alger, MI",249362
26005,"Allegan, MI",3957389
26007,"Alpena, MI",973702
26009,"Antrim, MI",512301
26011,"Arenac, MI",384314
26013,"Baraga, MI",246983
26015,"Barry, MI",1357971
26017,"Bay, MI",3499875
26019,"Benzie, MI",372819
26021,"Berrien, MI",6586651
26023,"Branch, MI",1245185
26025,"Calhoun, MI",5594998
26027,"Cass, MI",993586
26029,"Charlevoix, MI",1085000
26031,"Cheboygan, MI",566698
26033,"Chippewa, MI",1033661
26035,"Clare, MI",789999
26037,"Clinton, MI",1705952
26039,"Crawford, MI",374857
26041,"Delta, MI",1147124
26043,"Dickinson, MI",1202929
26045,"Eaton, MI",4309150
26047,"Emmet, MI",1479016
26049,"Genesee, MI",13122491
26051,"Gladwin, MI",426696
26053,"Gogebic, MI",454835
26055,"Grand Traverse, MI",4492132
26057,"Gratiot, MI",1242948
26059,"Hillsdale, MI",1451015
26061,"Houghton, MI",1072341
26063,"Huron, MI",1319411
26065,"Ingham, MI",14053425
26067,"Ionia, MI",1412179
26069,"Iosco, MI",662112
26071,"Iron, MI",309604
26073,"Isabella, MI",2213870
26075,"Jackson, MI",5490037
26077,"Kalamazoo, MI",11868155
26079,"Kalkaska, MI",484981
26081,"Kent, MI",36960150
26083,"Keweenaw, MI",58432
26085,"Lake, MI",198570
26087,"Lapeer, MI",1922854
26089,"Leelanau, MI",648970
26091,"Lenawee, MI",2530092
26093,"Livingston, MI",5950163
26095,"Luce, MI",169296
26097,"Mackinac, MI",616120
26099,"Macomb, MI",34515875
26101,"Manistee, MI",685252
26103,"Marquette, MI",3188673
26105,"Mason, MI",956916
26107,"Mecosta, MI",1202562
26109,"Menominee, MI",645666
26111,"Midland, MI",4682356
26113,"Missaukee, MI",336450
26115,"Monroe, MI",5510337
26117,"Montcalm, MI",1457961
26119,"Montmorency, MI",255254
26121,"Muskegon, MI",5897718
26123,"Newaygo, MI",1222990
26125,"Oakland, MI",97234958
26127,"Oceana, MI",685916
26129,"Ogemaw, MI",502351
26131,"Ontonagon, MI",138744
26133,"Osceola, MI",629201
26135,"Oscoda, MI",199445
26137,"Otsego, MI",873003
26139,"Ottawa, MI",12189756
26141,"Presque Isle, MI",393475
26143,"Roscommon, MI",550260
26145,"Saginaw, MI",7929192
26147,"St. Clair, MI",4965492
26149,"St. Joseph, MI",1986858
26151,"Sanilac, MI",1084868
26153,"Schoolcraft, MI",296606
26155,"Shiawassee, MI",1602095
26157,"Tuscola, MI",1326081
26159,"Van Buren, MI",2803568
26161,"Washtenaw, MI",20688097
26163,"Wayne, MI",85464905
26165,"Wexford, MI",1128765
27001,"Aitkin, MN",398507
27003,"Anoka, MN",13204641
27005,"Becker, MN",1220272
27007,"Beltrami, MN",1566817
27009,"Benton, MN",1538295
27011,"Big Stone, MN",215348
27013,"Blue Earth, MN",3849368
27015,"Brown, MN",1201935
27017,"Carlton, MN",1118083
27019,"Carver, MN",4727484
27021,"Cass, MN",830036
27023,"Chippewa, MN",567336
27025,"Chisago, MN",1342975
27027,"Clay, MN",1766128
27029,"Clearwater, MN",284044
27031,"Cook, MN",273280
27033,"Cottonwood, MN",556179
27035,"Crow Wing, MN",2457596
27037,"Dakota, MN",24388284
27039,"Dodge, MN",622555
27041,"Douglas, MN",1852248
27043,"Faribault, MN",554910
27045,"Fillmore, MN",695039
27047,"Freeborn, MN",1165428
27049,"Goodhue, MN",2609788
27051,"Grant, MN",329385
27053,"Hennepin, MN",116975987
27055,"Houston, MN",488518
27057,"Hubbard, MN",619850
27059,"Isanti, MN",1038315
27061,"Itasca, MN",2038701
27063,"Jackson, MN",609992
27065,"Kanabec, MN",410940
27067,"Kandiyohi, MN",2462913
27069,"Kittson, MN",274211
27071,"Koochiching, MN",477406
27073,"Lac qui Parle, MN",312404
27075,"Lake, MN",573100
27077,"Lake of the Woods, MN",167599
27079,"Le Sueur, MN",890598
27081,"Lincoln, MN",302976
27083,"Lyon, MN",1367354
27085,"McLeod, MN",1884386
27087,"Mahnomen, MN",231021
27089,"Marshall, MN",360837
27091,"Martin, MN",1014414
27093,"Meeker, MN",755193
27095,"Mille Lacs, MN",758812
27097,"Morrison, MN",1169865
27099,"Mower, MN",1898568
27101,"Murray, MN",674145
27103,"Nicollet, MN",1400726
27105,"Nobles, MN",1166846
27107,"Norman, MN",238618
27109,"Olmsted, MN",9882843
27111,"Otter Tail, MN",2210039
27113,"Pennington, MN",1084033
27115,"Pine, MN",682864
27117,"Pipestone, MN",703302
27119,"Polk, MN",1189382
27121,"Pope, MN",522044
27123,"Ramsey, MN",38087301
27125,"Red Lake, MN",202829
27127,"Redwood, MN",798680
27129,"Renville, MN",798747
27131,"Rice, MN",2176105
27133,"Rock, MN",699246
27135,"Roseau, MN",1074654
27137,"St. Louis, MN",9851128
27139,"Scott, MN",5164472
27141,"Sherburne, MN",3021598
27143,"Sibley, MN",526227
27145,"Stearns, MN",7707380
27147,"Steele, MN",2089477
27149,"Stevens, MN",618864
27151,"Swift, MN",473803
27153,"Todd, MN",747664
27155,"Traverse, MN",204156
27157,"Wabasha, MN",609257
27159,"Wadena, MN",486690
27161,"Waseca, MN",796919
27163,"Washington, MN",9100043
27165,"Watonwan, MN",407683
27167,"Wilkin, MN",319226
27169,"Winona, MN",2336934
27171,"Wright, MN",3872717
27173,"Yellow Medicine, MN",702296
32001,"Churchill, NV",951966
32003,"Clark, NV",99198167
32005,"Douglas, NV",2170340
32007,"Elko, NV",2485334
32009,"Esmeralda, NV",95092
32011,"Eureka, NV",1489421
32013,"Humboldt, NV",1183387
32015,"Lander, NV",837997
32017,"Lincoln, NV",168014
32019,"Lyon, NV",1318058
32021,"Mineral, NV",209668
32023,"Nye, NV",1484407
32027,"Pershing, NV",334099
32029,"Storey, NV",728269
32031,"Washoe, NV",22884873
32033,"White Pine, NV",629704
32510,"Carson City (Independent City), NV",2993317
37001,"Alamance, NC",5142796
37003,"Alexander, NC",812487
37005,"Alleghany, NC",452424
37007,"Anson, NC",704947
37009,"Ashe, NC",708157
37011,"Avery, NC",547967
37013,"Beaufort, NC",1464391
37015,"Bertie, NC",581268
37017,"Bladen, NC",1499085
37019,"Brunswick, NC",3533327
37021,"Buncombe, NC",11063449
37023,"Burke, NC",2526624
37025,"Cabarrus, NC",6157715
37027,"Caldwell, NC",2149216
37029,"Camden, NC",153013
37031,"Carteret, NC",1970264
37033,"Caswell, NC",416791
37035,"Catawba, NC",7867830
37037,"Chatham, NC",1327417
37039,"Cherokee, NC",668725
37041,"Chowan, NC",450951
37043,"Clay, NC",183641
37045,"Cleveland, NC",3302964
37047,"Columbus, NC",1330520
37049,"Craven, NC",4348858
37051,"Cumberland, NC",15814473
37053,"Currituck, NC",573065
37055,"Dare, NC",1741756
37057,"Davidson, NC",4531913
37059,"Davie, NC",1092842
37061,"Duplin, NC",2191274
37063,"Durham, NC",33897699
37065,"Edgecombe, NC",1467042
37067,"Forsyth, NC",21293669
37069,"Franklin, NC",1195368
37071,"Gaston, NC",6331095
37073,"Gates, NC",144911
37075,"Graham, NC",211268
37077,"Granville, NC",2073674
37079,"Greene, NC",491428
37081,"Guilford, NC",30328567
37083,"Halifax, NC",1376816
37085,"Harnett, NC",2071660
37087,"Haywood, NC",1520300
37089,"Henderson, NC",3994726
37091,"Hertford, NC",783188
37093,"Hoke, NC",847554
37095,"Hyde, NC",242303
37097,"Iredell, NC",7260397
37099,"Jackson, NC",1245747
37101,"Johnston, NC",4290371
37103,"Jones, NC",181737
37105,"Lee, NC",3090131
37107,"Lenoir, NC",2457167
37109,"Lincoln, NC",2012355
37111,"McDowell, NC",1261653
37113,"Macon, NC",964272
37115,"Madison, NC",358964
37117,"Martin, NC",620081
37119,"Mecklenburg, NC",92994049
37121,"Mitchell, NC",427702
37123,"Montgomery, NC",849711
37125,"Moore, NC",3030381
37127,"Nash, NC",7692590
37129,"New Hanover, NC",11688995
37131,"Northampton, NC",479657
37133,"Onslow, NC",8207955
37135,"Orange, NC",7223097
37137,"Pamlico, NC",266239
37139,"Pasquotank, NC",1397687
37141,"Pender, NC",1099411
37143,"Perquimans, NC",202571
37145,"Person, NC",1429239
37147,"Pitt, NC",7534598
37149,"Polk, NC",462178
37151,"Randolph, NC",3857985
37153,"Richmond, NC",1770417
37155,"Robeson, NC",2996269
37157,"Rockingham, NC",2966286
37159,"Rowan, NC",4633194
37161,"Rutherford, NC",1578507
37163,"Sampson, NC",2121400
37165,"Scotland, NC",943861
37167,"Stanly, NC",1669552
37169,"Stokes, NC",1085314
37171,"Surry, NC",2350239
37173,"Swain, NC",520435
37175,"Transylvania, NC",926855
37177,"Tyrrell, NC",115497
37179,"Union, NC",5833726
37181,"Vance, NC",1215038
37183,"Wake, NC",64182144
37185,"Warren, NC",327648
37187,"Washington, NC",252520
37189,"Watauga, NC",1839582
37191,"Wayne, NC",4637941
37193,"Wilkes, NC",2070085
37195,"Wilson, NC",3775521
37197,"Yadkin, NC",1024254
37199,"Yancey, NC",359684
39001,"Adams, OH",1528527
39003,"Allen, OH",7137897
39005,"Ashland, OH",1598130
39007,"Ashtabula, OH",2683288
39009,"Athens, OH",1898820
39011,"Auglaize, OH",2003508
39013,"Belmont, OH",5175882
39015,"Brown, OH",769987
39017,"Butler, OH",17223274
39019,"Carroll, OH",3617615
39021,"Champaign, OH",992346
39023,"Clark, OH",4284040
39025,"Clermont, OH",7195908
39027,"Clinton, OH",1787618
39029,"Columbiana, OH",2960143
39031,"Coshocton, OH",1383780
39033,"Crawford, OH",1243057
39035,"Cuyahoga, OH",85879394
39037,"Darke, OH",2012476
39039,"Defiance, OH",1734683
39041,"Delaware, OH",9271953
39043,"Erie, OH",4973481
39045,"Fairfield, OH",3636171
39047,"Fayette, OH",2287329
39049,"Franklin, OH",83159605
39051,"Fulton, OH",1977001
39053,"Gallia, OH",2044957
39055,"Geauga, OH",3594792
39057,"Greene, OH",8336201
39059,"Guernsey, OH",2234255
39061,"Hamilton, OH",65651526
39063,"Hancock, OH",5394451
39065,"Hardin, OH",846835
39067,"Harrison, OH",2746683
39069,"Henry, OH",1100507
39071,"Highland, OH",980858
39073,"Hocking, OH",589189
39075,"Holmes, OH",2017562
39077,"Huron, OH",2066681
39079,"Jackson, OH",890195
39081,"Jefferson, OH",3142613
39083,"Knox, OH",1824453
39085,"Lake, OH",10313229
39087,"Lawrence, OH",1684179
39089,"Licking, OH",5179948
42000,Pennsylvania,689844386
48000,Texas,1600260157
55000,Wisconsin,290750202
42001,"Adams, PA",3327497
42003,"Allegheny, PA",82618284
42005,"Armstrong, PA",2228905
42007,"Beaver, PA",6525338
42009,"Bedford, PA",1434084
42011,"Berks, PA",17947700
42013,"Blair, PA",5195441
42015,"Bradford, PA",5160201
42017,"Bucks, PA",29840332
42019,"Butler, PA",9723458
42021,"Cambria, PA",4476405
42023,"Cameron, PA",254177
42025,"Carbon, PA",2137686
42027,"Centre, PA",7728852
42029,"Chester, PA",40078808
42031,"Clarion, PA",1189419
42033,"Clearfield, PA",2481032
42035,"Clinton, PA",1525767
42037,"Columbia, PA",2247913
42039,"Crawford, PA",2820909
42041,"Cumberland, PA",13387426
42043,"Dauphin, PA",20476592
42045,"Delaware, PA",29291807
42047,"Elk, PA",1418356
42049,"Erie, PA",11026281
42051,"Fayette, PA",3966995
42053,"Forest, PA",283843
42055,"Franklin, PA",5241440
42057,"Fulton, PA",566736
42059,"Greene, PA",4351426
42061,"Huntingdon, PA",1216704
42063,"Indiana, PA",3788192
42065,"Jefferson, PA",1512253
42067,"Juniata, PA",653676
42069,"Lackawanna, PA",8666241
42071,"Lancaster, PA",25009837
42073,"Lawrence, PA",2767252
42075,"Lebanon, PA",5381158
42077,"Lehigh, PA",21142432
42079,"Luzerne, PA",14330958
42081,"Lycoming, PA",6519510
42083,"McKean, PA",1771932
42085,"Mercer, PA",4030379
42087,"Mifflin, PA",1544588
42089,"Monroe, PA",5688610
42091,"Montgomery, PA",67769226
42093,"Montour, PA",1743495
42095,"Northampton, PA",12198990
42097,"Northumberland, PA",2873576
42099,"Perry, PA",817963
42101,"Philadelphia, PA",110272136
42103,"Pike, PA",1235038
42105,"Potter, PA",653646
42107,"Schuylkill, PA",4682838
42109,"Snyder, PA",1310081
42111,"Somerset, PA",2467621
42113,"Sullivan, PA",554689
42115,"Susquehanna, PA",5181072
42117,"Tioga, PA",2104675
42119,"Union, PA",1720305
42121,"Venango, PA",1715875
42123,"Warren, PA",1538692
42125,"Washington, PA",14367271
42127,"Wayne, PA",1456959
42129,"Westmoreland, PA",12649986
42131,"Wyoming, PA",2265154
42133,"York, PA",17953835
48001,"Anderson, TX",1761038
48003,"Andrews, TX",4588979
48005,"Angelina, TX",3140971
48007,"Aransas, TX",634775
48009,"Archer, TX",343639
48011,"Armstrong, TX",48598
48013,"Atascosa, TX",4248916
48015,"Austin, TX",1214253
48017,"Bailey, TX",458610
48019,"Bandera, TX",301003
48021,"Bastrop, TX",1741072
48023,"Baylor, TX",145000
48025,"Bee, TX",859747
48027,"Bell, TX",14401726
48029,"Bexar, TX",92804535
48031,"Blanco, TX",288614
48033,"Borden, TX",445798
48035,"Bosque, TX",618864
