Republicans Previous Year,Democrats Previous Year,Republicans Target Year,Democrats Target Year,White (Not Latino) Population,African American Population,Asian American Population,"Poverty Percent, All Ages",Average Unemployment %,1824tot_per,1824M_per,1824F_per,2544tot_per,2544M_per,2544F_per,4564tot_per,4564M_per,4564F_per,65tot_per,65M_per,65F_per,log_gdp
0.797,0.17,0.843,0.145,41.1,1.5,0.2,11.9,4.5,0.1312199658967602,0.06882653852115951,0.062393427375600684,0.4162920477445357,0.2195783599441947,0.19671368780034104,0.3104169896140133,0.15858006510618508,0.15183692450782824,0.14207099674469076,0.06417609672918927,0.07789490001550148,6.686190128773446
0.725,0.252,0.7240000000000001,0.264,61.2,14.7,1.1,19.1,7.6,0.11749512821305948,0.059265674781156234,0.05822945343190324,0.3298122428779115,0.15973274768783446,0.170079495190077,0.32964211698475054,0.1641405549197315,0.16550156206501904,0.22305051192427852,0.09910606576139071,0.12394444616288781,6.500533680897175
0.507,0.41,0.498,0.479,82.7,5.5,4.2,6.6,4.2,0.10100234419206208,0.05217848193355428,0.0488238622585078,0.3497696225042438,0.17878322469705543,0.17098639780718836,0.3589700252055761,0.17994797216363784,0.17902205304193824,0.19025800809811802,0.08680859194156422,0.10344941615655381,7.143834374349936
0.431,0.557,0.47600000000000003,0.518,44.9,48.6,1.2,22.7,13.4,0.10143818849449204,0.05558955528355773,0.04584863321093431,0.3258873929008568,0.18727050183598531,0.1386168910648715,0.33144634842921256,0.16671766625866993,0.16472868217054262,0.2412280701754386,0.10439616483068136,0.13683190534475725,5.895162775735844
0.624,0.32799999999999996,0.564,0.42,95.0,0.3,0.3,12.6,6.1,0.07513277100905967,0.039206497969384566,0.0359262730396751,0.2259189836509424,0.11663021972300323,0.10928876392793918,0.35863792564823493,0.17463292721024679,0.18400499843798812,0.340310319691763,0.16520878892012913,0.17510153077163387,5.727321614398654
0.285,0.654,0.327,0.6609999999999999,18.5,0.5,0.3,35.9,14.1,0.12414700163928176,0.06141588197171286,0.0627311196675689,0.33170675917807174,0.17401166558651976,0.15769509359155198,0.32810415157637907,0.15794289199801761,0.17016125957836148,0.2160420876062674,0.09776600205863291,0.11827608554763448,6.396233531179454
0.6609999999999999,0.297,0.6940000000000001,0.29100000000000004,95.7,0.6,0.5,17.1,6.3,0.087101132938364,0.04531753455981707,0.04178359837854693,0.2707618750649621,0.13179503170148632,0.13896684336347573,0.3466375636628209,0.17576135536846482,0.1708762082943561,0.295499428333853,0.1335619997921214,0.16193742854173163,5.580286173002488
0.784,0.205,0.782,0.213,69.6,17.9,0.8,24.7,7.7,0.10956534275210841,0.06112592806170259,0.04843941469040582,0.31471203056296404,0.16009514885028472,0.15461688171267932,0.34095004685360053,0.1675196424709868,0.1734304043826137,0.23477257983132704,0.10653787933395804,0.128234700497369,6.154664640080443
0.7390000000000001,0.235,0.752,0.237,67.7,1.6,2.0,17.8,6.7,0.07833100666976889,0.042035055064371024,0.03629595160539786,0.23147717284525102,0.11721214001344295,0.11426503283180807,0.3390724367923065,0.16095341502507626,0.17811902176723024,0.3511193836926736,0.16824362752701516,0.18287575616565846,5.7970499927841255
0.887,0.092,0.897,0.09300000000000001,88.6,0.8,0.4,8.8,3.0,0.09761549925484352,0.05156482861400894,0.046050670640834575,0.27660208643815204,0.14083457526080476,0.13576751117734726,0.37585692995529063,0.1797317436661699,0.1961251862891207,0.24992548435171386,0.11535022354694485,0.134575260804769,5.558509373244119
0.631,0.3,0.6709999999999999,0.314,94.9,0.5,0.4,18.5,9.6,0.07422291478717297,0.038792749938489295,0.03543016484868367,0.2453046830148446,0.12375953415894365,0.12154514885590093,0.3655376035430165,0.1855162798326909,0.1800213237103256,0.314934798654966,0.15435085704912654,0.16058394160583941,5.632953056420164
0.745,0.225,0.7559999999999999,0.233,97.3,1.0,0.2,13.0,6.9,0.08256477821695213,0.04307727559145329,0.03948750262549885,0.27001584846575394,0.13786255752229287,0.13215329094346107,0.3680853907697008,0.18598079089572472,0.18210459987397606,0.2793339825475931,0.12766607473601801,0.1516679078115751,6.367014129146759
0.909,0.069,0.9309999999999999,0.067,86.6,1.2,0.0,7.5,1.8,0.07802874743326489,0.03490759753593429,0.043121149897330596,0.2799452429842574,0.13963039014373715,0.1403148528405202,0.3203285420944558,0.1567419575633128,0.16358658453114305,0.3216974674880219,0.1512662559890486,0.1704312114989733,4.823558993093982
0.711,0.264,0.7240000000000001,0.264,92.5,0.8,0.4,19.4,6.3,0.07642688731705147,0.03830241558788202,0.03812447172916945,0.24969971973842253,0.12847546599048001,0.12122425374794252,0.3513946349926598,0.17367320610347436,0.17772142888918546,0.3224787579518662,0.14711508519062236,0.17536367276124382,5.8494409129915725
0.713,0.235,0.7340000000000001,0.249,96.0,0.8,0.6,14.2,4.2,0.139228937684889,0.06741383871665985,0.07181509896822916,0.2851679934582361,0.14550614492893046,0.13966184852930566,0.32927679838379953,0.1607301762909161,0.16854662209288343,0.24632627047307534,0.11217200990884822,0.13415426056422713,6.204459956418457
0.433,0.522,0.439,0.5479999999999999,82.7,0.4,0.4,14.6,7.2,0.11545117428924598,0.057849196538936956,0.05760197775030902,0.2779563246806757,0.1433868974042027,0.134569427276473,0.3469303667078698,0.17206427688504328,0.17486608982282653,0.25966213432220847,0.123114956736712,0.1365471775854965,5.844318713230539
0.5720000000000001,0.382,0.606,0.375,89.9,3.4,0.5,19.8,7.4,0.09743981658387467,0.05237637199741742,0.04506344458645725,0.29238533198055155,0.15342653472652287,0.1389587972540287,0.3586892071732571,0.1796871911770519,0.1790020159962052,0.2514856442623167,0.11630848694873044,0.13517715731358623,6.4566368512448
0.632,0.341,0.665,0.324,34.2,0.7,0.4,14.6,6.1,0.1219224056920392,0.06153846153846154,0.06038394415357766,0.35414149550275204,0.1788159484494563,0.17532554705329575,0.3197476171298161,0.1574439522083501,0.16230366492146597,0.20418848167539266,0.09518056114914754,0.10900792052624514,6.652518246086721
0.387,0.557,0.418,0.565,89.7,2.5,2.8,30.2,8.7,0.327163143398791,0.1621955145401867,0.16496762885860428,0.2639589369388704,0.13699610115534572,0.12696283578352469,0.24943663483206352,0.12385091390349465,0.12558572092856887,0.15944128483027506,0.07132381872160819,0.08811746610866689,6.292572370698232
0.7190000000000001,0.267,0.7290000000000001,0.261,56.6,17.8,0.0,27.4,8.4,0.12464730290456431,0.06190871369294606,0.06273858921161826,0.3377593360995851,0.17394190871369294,0.1638174273858921,0.3412448132780083,0.17311203319502075,0.16813278008298754,0.19634854771784233,0.09510373443983403,0.1012448132780083,5.409148318782284
